scenario,method,feasible,total_cost,remote_flights,zone_mismatches,weighted_walk_m,service_ext_min,n_delayed
45,Priority Dispatch,False,,,,,,16
45,Optimized MILP,False,,,,,,16
46,FCFS,True,63521.7,10.0,15.0,534.32,515.0,14
46,Priority Dispatch,True,56718.5,11.0,14.0,440.86,540.0,14
46,Optimized MILP,True,54148.1,10.0,10.0,433.86,498.0,14
47,FCFS,True,58974.6,9.0,19.0,493.48,508.0,12
47,Priority Dispatch,True,51825.1,9.0,16.0,410.63,497.0,12
47,Optimized MILP,True,48973.2,8.0,11.0,400.46,448.0,12
48,FCFS,True,65292.3,11.0,17.0,536.66,549.0,12
48,Priority Dispatch,True,51909.8,9.0,14.0,415.22,490.0,12
48,Optimized MILP,True,51719.7,9.0,12.0,416.46,482.0,12
49,FCFS,True,57746.4,9.0,17.0,475.12,495.0,17
49,Priority Dispatch,True,53766.0,10.0,13.0,419.15,507.0,17
49,Optimized MILP,True,46427.2,7.0,10.0,385.56,418.0,17
50,FCFS,True,56853.6,9.0,17.0,465.34,495.0,12
50,Priority Dispatch,False,,,,,,12
50,Optimized MILP,True,49447.5,8.0,13.0,400.24,457.0,12
51,FCFS,False,,,,,,11
51,Priority Dispatch,True,49656.3,8.0,17.0,397.89,473.0,11
51,Optimized MILP,True,49196.8,8.0,14.0,397.76,460.0,11
52,FCFS,True,58501.7,9.0,14.0,489.19,482.0,15
52,Priority Dispatch,True,49062.0,8.0,16.0,392.48,467.0,15
52,Optimized MILP,True,46215.5,7.0,14.0,375.8,432.0,15
53,FCFS,True,56914.8,9.0,18.0,465.5,502.0,13
53,Priority Dispatch,True,54585.8,10.0,16.0,429.57,525.0,13
53,Optimized MILP,True,51136.2,9.0,11.0,411.2,476.0,13
54,FCFS,True,62997.3,10.0,16.0,524.38,515.0,13
54,Priority Dispatch,True,51944.5,9.0,17.0,409.53,497.0,13
54,Optimized MILP,True,47561.1,8.0,13.0,377.24,456.0,13
55,FCFS,True,63634.7,10.0,18.0,529.28,529.0,7
55,Priority Dispatch,True,54625.6,10.0,16.0,428.88,522.0,7
55,Optimized MILP,True,54059.9,10.0,11.0,428.67,501.0,7
56,FCFS,True,64028.4,10.0,18.0,537.15,529.0,5
56,Priority Dispatch,True,59389.5,12.0,13.0,459.66,566.0,5
56,Optimized MILP,True,54410.7,10.0,11.0,433.48,501.0,5
57,FCFS,True,62776.6,10.0,18.0,522.45,529.0,14
57,Priority Dispatch,False,,,,,,14
57,Optimized MILP,True,54281.6,10.0,11.0,431.71,501.0,14
58,FCFS,False,,,,,,15
58,Priority Dispatch,False,,,,,,15
58,Optimized MILP,False,,,,,,15
59,FCFS,True,63610.3,10.0,16.0,534.02,518.0,9
59,Priority Dispatch,True,51989.9,9.0,16.0,412.89,497.0,9
59,Optimized MILP,True,48937.9,8.0,11.0,399.15,450.0,9
60,FCFS,False,,,,,,10
60,Priority Dispatch,False,,,,,,10
60,Optimized MILP,False,,,,,,10
61,FCFS,True,64013.1,10.0,20.0,530.63,537.0,9
61,Priority Dispatch,True,54655.0,10.0,16.0,427.23,521.0,9
61,Optimized MILP,True,51534.5,9.0,12.0,411.04,477.0,9
62,FCFS,True,64659.7,10.0,17.0,541.15,517.0,10
62,Priority Dispatch,True,49270.5,8.0,15.0,400.14,468.0,10
62,Optimized MILP,True,46402.7,7.0,13.0,382.34,429.0,10
63,FCFS,True,67397.7,11.0,16.0,558.4,543.0,11
63,Priority Dispatch,True,54638.4,10.0,15.0,431.8,522.0,11
63,Optimized MILP,True,51714.3,9.0,11.0,417.89,479.0,11
